DistanceKm(Km),EstimatedRange,EstimatedTotalDistance,Fefficiency,FullBatteryCapacity,PT.BattHV.Energy(kwh),Time(s),UsedCapacity(kwh)
0.000103349,0.000241126,0.000343121,11611883,4,2.7999236,1,1.2000761
0.00101532,0.002367197,0.003377772,1182551,4,2.7993303,2,1.2006688
0.002956343,0.006882759,0.009830949,406541,4,2.7981221,3,1.2018764
0.00592751,0.01377021,0.01968618,203069,4,2.7963007,4,1.2036972
0.009927165,0.022995635,0.032907905,121496,4,2.793875,5,1.2061223
0.014900855,0.034413525,0.049296726,81112,4,2.7913475,6,1.2086501
0.020564266,0.047394448,0.067939171,58859,4,2.7895885,7,1.2104102
0.026528225,0.061089081,0.087597941,45653,4,2.7888995,8,1.2111002
0.032459601,0.074749728,0.10718945,37310,4,2.7889125,9,1.2110876
0.038220483,0.088022123,0.12622582,31685,4,2.788981,10,1.211019
0.043828222,0.10093037,0.14473844,27632,4,2.7889078,11,1.2110921
0.049341451,0.11359096,0.16291768,24550,4,2.7886577,12,1.2113419
0.054818521,0.12614332,0.18094498,22104,4,2.7882716,13,1.211728
0.060299836,0.13868309,0.19896367,20102,4,2.7878071,14,1.2121924
0.06580501,0.15125438,0.21704569,18428,4,2.7873153,15,1.2126842
0.071337511,0.16387334,0.23519569,17006,4,2.7868295,16,1.21317
0.076891445,0.17654233,0.25341706,15783,4,2.7863672,17,1.2136324
0.082457284,0.18922306,0.27166196,14723,4,2.7859307,18,1.2140689
0.088026515,0.20190735,0.28991369,13796,4,2.7855134,19,1.2144862
0.093593661,0.21456908,0.30814067,12980,4,2.7851062,20,1.2148934
0.099156407,0.22721131,0.32634366,12256,4,2.7847014,21,1.2152981
0.10471472,0.23983934,0.34452788,11609,4,2.7842945,22,1.2157051
0.11026985,0.25243776,0.3626792,11028,4,2.7838832,23,1.2161164
0.1158234,0.26501648,0.38083437,10503,4,2.7834677,24,1.2165319
0.12137671,0.27758325,0.39895445,10026,4,2.7830493,25,1.2169503
0.12693054,0.29015954,0.41705431,9590,4,2.7826295,26,1.2173701
0.13248518,0.30271026,0.435157,9191,4,2.7822096,27,1.21779
0.13804057,0.31521708,0.45325213,8825,4,2.7817903,28,1.2182093
0.14359645,0.3277601,0.47135104,8486,4,2.7813718,29,1.2186278
0.14915257,0.34026117,0.48940823,8173,4,2.7809541,30,1.2190455
0.1547087,0.35277054,0.50747374,7882,4,2.780537,31,1.2194626
0.16026473,0.36527666,0.52553589,7611,4,2.7801202,32,1.2198794
0.16582061,0.37772849,0.54354361,7359,4,2.7797036,33,1.220296
0.17137637,0.39023973,0.56155582,7122,4,2.7792869,34,1.2207127
0.17693205,0.40267652,0.57960307,6901,4,2.7788703,35,1.2211293
0.18248768,0.41512834,0.59754852,6693,4,2.7784536,36,1.221546
0.18804332,0.42752191,0.61555974,6498,4,2.778037,37,1.2219626
0.19359899,0.43998429,0.63350811,6313,4,2.7776204,38,1.2223792
0.1991547,0.4523871,0.65146263,6139,4,2.777204,39,1.2227956
0.20471042,0.46473442,0.66943935,5975,4,2.7767878,40,1.2232118
0.21026613,0.47712186,0.6873825,5819,4,2.7763717,41,1.2236279
0.21582182,0.48950029,0.70531662,5671,4,2.7759557,42,1.2240439
0.22137749,0.50181527,0.72318727,5531,4,2.7755398,43,1.2244598
0.22693313,0.5141976,0.74112525,5397,4,2.775124,44,1.2248756
0.23248876,0.52651019,0.75899347,5270,4,2.7747083,45,1.2252913
0.23804436,0.53880228,0.77684117,5149,4,2.7742925,46,1.2257071
0.24359992,0.55113791,0.79473236,5033,4,2.7738767,47,1.2261229
0.24915539,0.56348253,0.81263245,4922,4,2.7734606,48,1.226539
0.25471068,0.57567871,0.83038392,4817,4,2.7730439,49,1.2269557
0.26026533,0.58804356,0.84830342,4715,4,2.772625,50,1.2273746
0.26581845,0.60030339,0.86598642,4618,4,2.7722006,51,1.2277989
0.27137328,0.61254774,0.88378022,4525,4,2.7717781,52,1.2282215
0.27693128,0.62474361,0.90166942,4436,4,2.7713622,53,1.2286374
0.28249101,0.63700064,0.91948618,4350,4,2.7709524,54,1.2290472
0.28805432,0.64914621,0.93719506,4268,4,2.7705556,55,1.229444
0.29361757,0.66145347,0.95506557,4188,4,2.7701667,56,1.2298329
0.29917468,0.67358274,0.97275196,4112,4,2.7697718,57,1.2302278
0.30472067,0.6858229,0.99053814,4038,4,2.7693524,58,1.2306471
0.31025286,0.69780496,1.0080524,3968,4,2.7688896,59,1.2311099
0.31577166,0.70983818,1.0256045,3900,4,2.7683683,60,1.2316311
0.32129439,0.72165109,1.0427522,3835,4,2.7675306,61,1.2324681
0.32715744,0.73212974,1.0592819,3776,4,2.7645181,62,1.2354781
0.33389495,0.74365791,1.0775468,3712,4,2.7604538,63,1.2395418
0.34153542,0.75669028,1.0982189,3642,4,2.7558611,64,1.244134
0.35005282,0.77095243,1.1209978,3568,4,2.7507529,65,1.2492417
0.35941941,0.78635064,1.1457619,3491,4,2.7451442,66,1.2548499
0.36960622,0.80300731,1.1726048,3411,4,2.7390516,67,1.2609421
0.38058357,0.82057028,1.2011445,3330,4,2.7324923,68,1.267501
0.39232153,0.83912898,1.2314406,3248,4,2.7254837,69,1.2745091
0.40479051,0.85851263,1.2630216,3166,4,2.7180433,70,1.281949
0.41796169,0.87850768,1.2964585,3085,4,2.7101881,71,1.2898038
0.4318076,0.89884989,1.3306461,3006,4,2.7019343,72,1.2980572
0.44630253,0.92015914,1.3664499,2927,4,2.693297,73,1.3066942
0.46142301,0.94152897,1.4029398,2851,4,2.6842899,74,1.3157009
0.47714809,0.96324622,1.4403817,2777,4,2.6749252,75,1.3250653
0.49344998,0.98572261,1.4791597,2704,4,2.6653841,76,1.3346061
0.51030796,1.0086985,1.5189923,2633,4,2.6558952,77,1.3440968
0.52754118,1.0336409,1.561168,2562,4,2.6481798,78,1.351812
0.54508217,1.0580224,1.6030902,2495,4,2.6397575,79,1.3602341
0.56293584,1.0830333,1.6459542,2430,4,2.6317634,80,1.3682291
0.58101228,1.1093764,1.6903732,2366,4,2.624778,81,1.3752155
0.59920036,1.1361375,1.7353221,2305,4,2.6187915,82,1.381203
0.61740972,1.1642245,1.7816181,2245,4,2.6136792,83,1.386316
0.63557692,1.1924636,1.8280245,2188,4,2.6091059,84,1.3908896
0.65369101,1.2205388,1.8742138,2134,4,2.6046254,85,1.3953701
0.67176549,1.2492138,1.9209621,2082,4,2.6008611,86,1.3991368
0.68958203,1.2825406,1.9721048,2028,4,2.6009929,87,1.3990077
0.70615883,1.3138837,2.0200269,1980,4,2.6014901,88,1.3985103
0.720434,1.3411898,2.0616103,1940,4,2.6019085,89,1.3980918
0.73310465,1.3653077,2.0983999,1906,4,2.6022768,90,1.3977236
0.74508484,1.3880616,2.1331346,1875,4,2.6026158,91,1.3973845
0.75673645,1.4089139,2.1656393,1847,4,2.6022632,92,1.397736
0.7682482,1.4283461,2.1965836,1821,4,2.6010167,93,1.3989818
0.77976073,1.4473143,2.2270645,1796,4,2.5993748,94,1.4006235
0.79133692,1.4659705,2.2572967,1772,4,2.5976982,95,1.4023002
0.80298853,1.4852425,2.2882201,1748,4,2.5962026,96,1.4037961
0.81470028,1.5052107,2.3198999,1724,4,2.5949822,97,1.4050167
0.82644788,1.5250187,2.3514553,1701,4,2.5940561,98,1.4059431
0.83820838,1.5455246,2.3837215,1678,4,2.5933897,99,1.4066097
0.849966,1.5667256,2.41668,1655,4,2.5929304,100,1.4070692
0.8617131,1.5876489,2.4493504,1633,4,2.5926304,101,1.4073694
0.87344844,1.6092222,2.482659,1611,4,2.5924569,102,1.407543
0.88517451,1.6304364,2.5155992,1590,4,2.5923939,103,1.4076061
0.89689509,1.6522842,2.5491675,1569,4,2.592434,104,1.4075661
0.90861364,1.6747892,2.5823098,1548,4,2.5925738,105,1.4074263
0.92033247,1.6968711,2.6160818,1528,4,2.5928193,106,1.407181
0.93205338,1.7184565,2.6504979,1509,4,2.5931511,107,1.4068492
0.94377266,1.7405958,2.6843565,1490,4,2.5934881,108,1.4065123
